Responder ID,1. Sex,2. Age,3. Household Type,4. Housing Type,5. Do you like gardening?,6. Reason for not liking gardening,7. Do you own plants?,8. If yeas what is the reason you own plants?,9. Have you heard of smart gardening,10. What do yu think it is?,11. Would you buy an SHG device?,12. Have you bough an SHG device?,13. Reason for purchasing a SHG device,14. Where would you use it?,15. What aspects do you care about,16.1 Air Care,16.2 Smartphone App,16.3 Real-time Monitoring,16.4 Environment Control,16.5 Self-watering,16.6 Light Control,17. Which design looks appealing?,18. What would make you likely buy this product?,19. How much are you willing to pay?,20. How often would you grow new plants?,21. What type of plants do you like to grow?,22. How would you purchase this product?,"23. Now, you know a bit more about smart gardening, how likely are you to buy a smart",8.1 Decoration - Home interior,"8.2 Growing herbs, veggies, fruits",8.3 Hobby,8.4 Healing - Reduce Stress,8.5 Well-being ,13.1 It is easy to use,13.2 I can grow perfect and fresh herbs and vegetables,13.3 To teach my kids about gardening/farming,13.4 To make the house look prettier,13.5 I like smart technologies,13.6 Can minimize the time,13.7 Stress relief through plants,15.1 Convenience,15.2 Quality,15.3 Brand,15.4 Price,15.5 Design,15.6 Maintenance service,15.7 Innovation,15.8 Reliability,15.9 Safety,21.1 Succulents,21.2 Flowers,21.3 Fruits,21.4 Vegetables,21.5 Herbs,21.6 Air Purifying Plants
1,1,1,3,1,1,"Yes, I like gardening",1,Others,1,보람찬 일,2,2,Others,Personal Business/Office space,Quality,4,3,3,3,4,4,3,Aesthetic design,1,2,Fruits,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,5,4,2,I don't like having bugs in the house,1,"Growing herbs, veggies, fruits",2,"어플, 자동화, 기기, AI",2,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables",House,Price,1,3,3,3,5,4,4,More plant options,5,6,"Succulents, Vegetables, Herbs, Air Purifying Plants",1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
3,1,1,3,1,2,"I don't have time, I don't know how to take care of plants, I don't enjoy gardening, Gardening is an expensive hobby, I don't know where to start, I have to keep the plants for long time",2,"No, I don't own any plants",2,스마트기기를 이용하여 홈가드닝을 한다고 생각합니다.,2,2,I can grow perfect and fresh herbs and vegetables,House,"Convenience, Price, Maintenance service",4,4,4,3,3,2,4,More technological features,2,4,"Fruits, Vegetables, Herbs",2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
4,1,1,5,4,2,"I don't enjoy gardening, I don't like having bugs in the house",2,"No, I don't own any plants",2,스마트 기기로 식물을 키울수 있는 시스템,1,2,"It is easy to use, Can minimize the time, To make the house look prettier",House,"Convenience, Price, Maintenance service, Safety",4,4,4,4,4,4,5,Aesthetic design,2,3,"Flowers, Herbs, Air Purifying Plants",1,3,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
5,1,1,3,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Healing - Reduce Stress, Well-being ",2,편리한 식물시스템,2,2,It is easy to use,House,"Convenience, Price, Design",5,4,5,5,5,5,5,Customization,3,5,"Succulents, Flowers, Fruits",1,4,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0
6,1,1,3,4,2,I don't have time,2,"No, I don't own any plants",2,집 꾸미기용..? 정원을 꾸미는거 좋아하는사람한테 필요!!,2,2,I like smart technologies,House,"Quality, Price, Design, Maintenance service, Reliability",4,4,4,4,4,4,3,More technological features,3,2,"Succulents, Flowers, Fruits, 야채, Herbs",1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0
7,1,1,1,4,1,"Yes, I like gardening",1,"Hobby, Healing - Reduce Stress",2,자동화 시스템,2,2,I can grow perfect and fresh herbs and vegetables,House,Design,2,3,2,5,1,1,2,Customization,2,3,"Fruits, Vegetables, Herbs",1,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
8,1,1,1,2,2,"I don't have time, I don't know how to take care of plants",2,"No, I don't own any plants",2,간편하게 식물을 집이나 사무실에서 재배할 수 있는 솔루션,1,2,"It is easy to use, To make the house look prettier","Office/business, Personal Business/Office space","Convenience, Brand, Design",4,4,3,4,2,2,5,"Aesthetic design, Event promotion",3,4,"Succulents, Flowers, Herbs, Air Purifying Plants",2,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1
9,1,1,3,3,2,I don't know how to take care of plants,1,Decoration - Home interior,2,전자기기로 집을 지키는 것,1,2,"It is easy to use, Can minimize the time",House,"Convenience, Quality, Maintenance service",4,5,4,4,4,4,3,Aesthetic design,3,3,"Flowers, Herbs",2,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
10,1,1,3,1,2,"I don't have the space for plants, I don't enjoy gardening",2,"No, I don't own any plants",2,스마트 팩토리처럼 자동화,2,2,"I can grow perfect and fresh herbs and vegetables, Can minimize the time",House,"Convenience, Price",4,4,3,3,3,3,1,Customization,3,3,"Vegetables, Herbs",7,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
